SD = 1
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.087041, general blocking: 0.02778, general blocking (original): 0.113494, buffer size: 27780, reallocated: 85714, Average try per allocated element: 214.847, Average service time: 26.6378, Average service time (ALL): 26.7405, Average buffer size: 13654.8, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1501492
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.135456, general blocking: 0.043234, general blocking (original): 0.116474, buffer size: 43234, reallocated: 73240, Average try per allocated element: 249.688, Average service time: 36.7679, Average service time (ALL): 36.8512, Average buffer size: 21457.7, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1617966
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.179215, general blocking: 0.057216, general blocking (original): 0.117111, buffer size: 57216, reallocated: 59895, Average try per allocated element: 303.851, Average service time: 44.0173, Average service time (ALL): 44.1141, Average buffer size: 28409.9, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1735077
W/Buffer erlang index: 10, erlang: 6000, BBP: 0.210199, general blocking: 0.067118, general blocking (original): 0.118879, buffer size: 67118, reallocated: 51761, Average try per allocated element: 349.491, Average service time: 46.1301, Average service time (ALL): 46.6982, Average buffer size: 33303.4, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1853956
W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1853956
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1853956
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1853956
W/Buffer erlang index: 3, erlang: 2500, BBP: 0, general blocking: 0, general blocking (original): 9.99999e-05, buffer size: 0, reallocated: 100, Average try per allocated element: 23.74, Average service time: 0.00950982, Average service time (ALL): 0.00950982, Average buffer size: 0.00237708, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1854056
W/Buffer erlang index: 4, erlang: 3000, BBP: 0, general blocking: 0, general blocking (original): 0.013357, buffer size: 0, reallocated: 13357, Average try per allocated element: 49.9804, Average service time: 0.017102, Average service time (ALL): 0.017102, Average buffer size: 0.685185, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1867413
W/Buffer erlang index: 5, erlang: 3500, BBP: 3.44692e-05, general blocking: 1.1e-05, general blocking (original): 0.0830409, buffer size: 11, reallocated: 83030, Average try per allocated element: 163.749, Average service time: 0.051154, Average service time (ALL): 0.051151, Average buffer size: 14.8644, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1950454
W/Buffer erlang index: 6, erlang: 4000, BBP: 8.77397e-05, general blocking: 2.8e-05, general blocking (original): 0.121237, buffer size: 28, reallocated: 121209, Average try per allocated element: 360.803, Average service time: 0.27591, Average service time (ALL): 0.275856, Average buffer size: 133.755, searchDepth: 50, maxBufferSize: 2147483647, pushed: 2071691
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.0579013, general blocking: 0.018479, general blocking (original): 0.127093, buffer size: 18479, reallocated: 108614, Average try per allocated element: 419.54, Average service time: 16.2121, Average service time (ALL): 16.2792, Average buffer size: 9308.91, searchDepth: 50, maxBufferSize: 2147483647, pushed: 2198784
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.109506, general blocking: 0.034954, general blocking (original): 0.129366, buffer size: 34954, reallocated: 94412, Average try per allocated element: 480.61, Average service time: 27.0952, Average service time (ALL): 27.0679, Average buffer size: 17505.6, searchDepth: 50, maxBufferSize: 2147483647, pushed: 2328150
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.1546, general blocking: 0.049379, general blocking (original): 0.132255, buffer size: 49379, reallocated: 82876, Average try per allocated element: 543.682, Average service time: 34.2932, Average service time (ALL): 34.0361, Average buffer size: 24754.1, searchDepth: 50, maxBufferSize: 2147483647, pushed: 2460405
W/Buffer erlang index: 10, erlang: 6000, BBP: 0.19668, general blocking: 0.062821, general blocking (original): 0.132549, buffer size: 62821, reallocated: 69728, Average try per allocated element: 643.356, Average service time: 39.3619, Average service time (ALL): 39.2465, Average buffer size: 31207.6, searchDepth: 50, maxBufferSize: 2147483647, pushed: 2592954
