W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 1, maxBufferSize: 2147483647, pushed: 0
W/Buffer erlang index: 7, erlang: 4500, BBP: 0.158143, general blocking: 0.052323, general blocking (original): 0.0797839, buffer size: 52323, reallocated: 27461, Average try per allocated element: 679.383, Average service time: 71.338, Average service time (ALL): 72.0058, Average buffer size: 25848, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1278366
W/Buffer erlang index: 8, erlang: 5000, BBP: 0.195083, general blocking: 0.064633, general blocking (original): 0.0831389, buffer size: 64633, reallocated: 18506, Average try per allocated element: 998.197, Average service time: 74.1817, Average service time (ALL): 76.934, Average buffer size: 31976.1, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1361505
W/Buffer erlang index: 9, erlang: 5500, BBP: 0.224536, general blocking: 0.074617, general blocking (original): 0.0843589, buffer size: 74617, reallocated: 9742, Average try per allocated element: 1872.38, Average service time: 69.0888, Average service time (ALL): 80.152, Average buffer size: 37182.7, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1445864
W/Buffer erlang index: 10, erlang: 6000, BBP: 0.252594, general blocking: 0.084455, general blocking (original): 0.0906259, buffer size: 84455, reallocated: 6171, Average try per allocated element: 2818.66, Average service time: 46.7256, Average service time (ALL): 77.0086, Average buffer size: 41867.3, searchDepth: 20, maxBufferSize: 2147483647, pushed: 1536490
W/Buffer erlang index: 0, erlang: 1000, BBP: 0, general blocking: 0, general blocking (original): 0, buffer size: 0, reallocated: 0, Average try per allocated element: nan, Average service time: 0, Average service time (ALL): 0, Average buffer size: 0, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1536490
W/Buffer erlang index: 1, erlang: 1500, BBP: 0, general blocking: 0, general blocking (original): 4.5e-05, buffer size: 0, reallocated: 45, Average try per allocated element: 19.5778, Average service time: 0.0131276, Average service time (ALL): 0.0131276, Average buffer size: 0.000885977, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1536535
W/Buffer erlang index: 2, erlang: 2000, BBP: 0, general blocking: 0, general blocking (original): 0.0016, buffer size: 0, reallocated: 1600, Average try per allocated element: 42.9531, Average service time: 0.0214773, Average service time (ALL): 0.0214773, Average buffer size: 0.0687167, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1538135
W/Buffer erlang index: 3, erlang: 2500, BBP: 0, general blocking: 0, general blocking (original): 0.013502, buffer size: 0, reallocated: 13502, Average try per allocated element: 112.456, Average service time: 0.0455701, Average service time (ALL): 0.0455701, Average buffer size: 1.53798, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1551637
W/Buffer erlang index: 4, erlang: 3000, BBP: 0.000109675, general blocking: 3.5e-05, general blocking (original): 0.0611439, buffer size: 35, reallocated: 61109, Average try per allocated element: 400.826, Average service time: 0.139463, Average service time (ALL): 0.139509, Average buffer size: 25.5865, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1612781
W/Buffer erlang index: 5, erlang: 3500, BBP: 0.0426684, general blocking: 0.014345, general blocking (original): 0.0896329, buffer size: 14345, reallocated: 75288, Average try per allocated element: 632.407, Average service time: 22.0633, Average service time (ALL): 22.2435, Average buffer size: 6977.03, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1702414
W/Buffer erlang index: 6, erlang: 4000, BBP: 0.102891, general blocking: 0.034701, general blocking (original): 0.0922449, buffer size: 34701, reallocated: 57544, Average try per allocated element: 816.796, Average service time: 46.4856, Average service time (ALL): 46.4743, Average buffer size: 17145.4, searchDepth: 50, maxBufferSize: 2147483647, pushed: 1794659
